
# 2026-06-17T16:24:16+01:00 | Autogluon_Ensemble
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=4 | time=12.059906244277954 | MSE_test=23.109731170034586 | MSE_sur_real=198.4820270706367 | HV_sur=1.1806510856154933 | HV_real=1.1859696013448684 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=5 | time=11.455840349197388 | MSE_test=23.109731170034586 | MSE_sur_real=115.35397145150611 | HV_sur=1.180650629736698 | HV_real=1.1859896855088534 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=6 | time=12.93250584602356 | MSE_test=23.109731170034586 | MSE_sur_real=85.7605079744651 | HV_sur=1.1806511297036213 | HV_real=1.1858870490970295 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=7 | time=12.50196099281311 | MSE_test=23.109731170034586 | MSE_sur_real=77.36744372154361 | HV_sur=1.1806367003577833 | HV_real=1.1859914211449232 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=8 | time=12.18775486946106 | MSE_test=23.109731170034586 | MSE_sur_real=127.11763733468669 | HV_sur=1.1806367134069584 | HV_real=1.1858841047758921 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=9 | time=10.267924785614014 | MSE_test=23.109731170034586 | MSE_sur_real=174.9621765157248 | HV_sur=1.1806423691153487 | HV_real=1.1860050582176596 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=10 | time=12.649229049682617 | MSE_test=23.109731170034586 | MSE_sur_real=105.19991245306937 | HV_sur=1.1806511158116262 | HV_real=1.1860025668508525 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=11 | time=12.785645723342896 | MSE_test=23.109731170034586 | MSE_sur_real=79.80378539428902 | HV_sur=1.180651304402898 | HV_real=1.1859750208542188 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=12 | time=12.49558138847351 | MSE_test=23.109731170034586 | MSE_sur_real=112.86643958195944 | HV_sur=1.1806506595756672 | HV_real=1.1859568333700712 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=13 | time=12.849024534225464 | MSE_test=23.109731170034586 | MSE_sur_real=124.21379025882311 | HV_sur=1.1806503564562234 | HV_real=1.1859792765355281 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re24 | seed=14 | time=25.926519870758057 | MSE_test=23.109731170034586 | MSE_sur_real=94.04137055980163 | HV_sur=1.180650930155141 | HV_real=1.1859377869350507 | HV_bounds_check=True | solution_count=100
