
# 2026-06-17T14:40:28+01:00 | TGPR-MO
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=26 | time=3.438322067260742 | MSE_test=10693997676.751623 | MSE_sur_real=77528677224.37581 | HV_sur=1.210056364323363 | HV_real=1.2094271674730679 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=27 | time=3.4388091564178467 | MSE_test=10693997676.751623 | MSE_sur_real=75026312159.57632 | HV_sur=1.2100623246371363 | HV_real=1.209441694987977 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=28 | time=3.4078779220581055 | MSE_test=10693997676.751623 | MSE_sur_real=77219710288.12534 | HV_sur=1.2100219532724634 | HV_real=1.209432087467199 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=29 | time=3.45298433303833 | MSE_test=10693997676.751623 | MSE_sur_real=75230268528.58356 | HV_sur=1.2100617990618547 | HV_real=1.2094537539037638 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=30 | time=3.4187724590301514 | MSE_test=10693997676.751623 | MSE_sur_real=68122087117.02232 | HV_sur=1.2100461212612124 | HV_real=1.2093945692787902 | HV_bounds_check=None | solution_count=34
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=1 | time=3.1079423427581787 | MSE_test=14307.935186215636 | MSE_sur_real=25.685365610939527 | HV_sur=1.1940961512564572 | HV_real=1.1800682725859897 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=2 | time=3.1226539611816406 | MSE_test=14307.935186215636 | MSE_sur_real=28.289252200841066 | HV_sur=1.1940946371516532 | HV_real=1.1809534168573068 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=3 | time=3.067021608352661 | MSE_test=14307.935186215636 | MSE_sur_real=23.683702827320918 | HV_sur=1.1940916268467725 | HV_real=1.1790837429751577 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=4 | time=3.066094160079956 | MSE_test=14307.935186215636 | MSE_sur_real=25.633003436509796 | HV_sur=1.194096656770294 | HV_real=1.1800424464725818 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=5 | time=3.0492403507232666 | MSE_test=14307.935186215636 | MSE_sur_real=29.197302359083572 | HV_sur=1.1940955785798413 | HV_real=1.181245560021979 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=6 | time=3.1995527744293213 | MSE_test=14307.935186215636 | MSE_sur_real=28.19344195482078 | HV_sur=1.1940890348075717 | HV_real=1.1809581513968987 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=7 | time=3.2394297122955322 | MSE_test=14307.935186215636 | MSE_sur_real=28.860518149615505 | HV_sur=1.194095191894045 | HV_real=1.1811401923683713 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=8 | time=3.129563331604004 | MSE_test=14307.935186215636 | MSE_sur_real=23.774261370214976 | HV_sur=1.194097053829956 | HV_real=1.1791442430144794 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=9 | time=3.1049625873565674 | MSE_test=14307.935186215636 | MSE_sur_real=26.33506169440174 | HV_sur=1.1940923951635407 | HV_real=1.1803188159792735 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=10 | time=3.1234052181243896 | MSE_test=14307.935186215636 | MSE_sur_real=25.857681462520116 | HV_sur=1.1940946466834204 | HV_real=1.1801227348641612 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=11 | time=3.1138219833374023 | MSE_test=14307.935186215636 | MSE_sur_real=25.836141173370702 | HV_sur=1.1940969540103734 | HV_real=1.1801251312625063 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=12 | time=3.1730167865753174 | MSE_test=14307.935186215636 | MSE_sur_real=28.50502605909255 | HV_sur=1.1940937126539208 | HV_real=1.1810542487710936 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=13 | time=3.180053234100342 | MSE_test=14307.935186215636 | MSE_sur_real=26.85586441281575 | HV_sur=1.1940964279269894 | HV_real=1.1805030958058245 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=14 | time=3.1853387355804443 | MSE_test=14307.935186215636 | MSE_sur_real=25.90898675595416 | HV_sur=1.1940940519456578 | HV_real=1.180153242571484 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=15 | time=3.1468164920806885 | MSE_test=14307.935186215636 | MSE_sur_real=23.354813695111865 | HV_sur=1.1940963923870072 | HV_real=1.178901792719969 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re24 | seed=16 | time=3.139643907546997 | MSE_test=14307.935186215636 | MSE_sur_real=25.708249752760704 | HV_sur=1.1940952330692576 | HV_real=1.1800687589777166 | HV_bounds_check=None | solution_count=50
